Record ID#,Spacecraft Name,Launch Code (Using Record ID)
452,AFNIO 9,
453,AFRL 1,
454,AFRL 2,
455,AFRL 3,
456,AFRL 4,
457,AFRL Small SSA Sat 1,
458,AFRL tbd (projection) - 2027,
459,AFRL tbd (projection) - 2029,
460,Agile Small Launch Operational Normalizer-45 (ASLON-45),
461,Airbus TBD 1,
462,Airbus TBD 2,
463,Airbus TBD 3,
464,Airbus TBD 4,
465,Aist-2T #1,
466,Aist-2T #2,
467,AL YAH 4,
468,Al Yah 5,
469,Albedo 1,
470,Albedo 10,
471,Albedo 11,
472,Albedo 12,
473,Albedo 13,
474,Albedo 14,
475,Albedo 15,
476,Albedo 16,
477,Albedo 17,
478,Albedo 18,
479,Albedo 19,
480,Albedo 2,
481,Albedo 20,
482,Albedo 21,
483,Albedo 22,
484,Albedo 23,
485,Albedo 24,
486,Albedo 3,
487,Albedo 4,
488,Albedo 5,
489,Albedo 6,
490,Albedo 7,
491,Albedo 8,
492,Albedo 9,
493,ALISIO-1,
494,ALOS Successors - 2026,
495,ALOS Successors - 2027,
496,ALOS-4,
497,ALTIUS,
498,Amazon Kuiper early replacement 1,
499,Amazon Kuiper early replacement 10,
500,Amazon Kuiper early replacement 11,
501,Amazon Kuiper early replacement 12,
502,Amazon Kuiper early replacement 13,
503,Amazon Kuiper early replacement 14,
504,Amazon Kuiper early replacement 15,
505,Amazon Kuiper early replacement 2,
506,Amazon Kuiper early replacement 3,
507,Amazon Kuiper early replacement 4,
508,Amazon Kuiper early replacement 5,
509,Amazon Kuiper early replacement 6,
510,Amazon Kuiper early replacement 7,
511,Amazon Kuiper early replacement 8,
512,Amazon Kuiper early replacement 9,
513,Amazon Kuiper Systems - 2023 Ariane Launches,
514,Amazon Kuiper Systems - 2023 Atlas Launches,
515,Amazon Kuiper Systems - 2023 New Glenn Launches,
516,Amazon Kuiper Systems - 2023 Vulcan Launches,
517,Amazon Kuiper Systems - 2024 Ariane Launches,
518,Amazon Kuiper Systems - 2024 Atlas Launches,
519,Amazon Kuiper Systems - 2024 New Glenn Launches,
520,Amazon Kuiper Systems - 2024 Vulcan Launches,
521,Amazon Kuiper Systems - 2025 Ariane Launches,
522,Amazon Kuiper Systems - 2025 New Glenn Launches,
523,Amazon Kuiper Systems - 2025 Vulcan Launches,
524,Amazon Kuiper Systems - 2026 Ariane Launches,
525,Amazon Kuiper Systems - 2026 New Glenn Launches,
526,Amazon Kuiper Systems - 2026 Vulcan Launches,
